cochrane_id,table_nr,effect_type,point_estimate,lower_ci,upper_ci,nr_participants_cleaned,nr_studies_cleaned,certainty_cleaned,primary_outcome,mortality_outcome
CD000020.PUB3,1,RR,0.42,0.15,1.17,3902.0,2.0,low,True,False
CD000020.PUB3,1,RR,0.39,0.1,1.62,2048.0,2.0,low,False,False
CD000020.PUB3,1,RR,0.6,0.41,0.88,1884.0,1.0,low,False,False
CD000020.PUB3,1,RR,0.6,0.46,0.79,1189.0,1.0,low,False,False
CD000020.PUB3,1,RR,0.26,0.03,2.3,1882.0,1.0,very low,False,False
CD000022.PUB4,1,RR,0.84,0.73,0.96,5290.0,18.0,high,True,True
CD000022.PUB4,1,RR,0.43,0.35,0.53,2951.0,17.0,moderate,False,False
CD000022.PUB4,1,RR,1.06,0.3,3.76,1287.0,4.0,low,False,False
CD000022.PUB4,1,RR,1.08,0.57,2.04,2637.0,6.0,low,False,False
CD000022.PUB4,1,RR,1.49,0.09,25.33,2981.0,6.0,low,False,False
CD000022.PUB4,2,RR,0.96,0.87,1.05,4213.0,22.0,moderate,False,True
CD000022.PUB4,2,RR,0.92,0.72,1.18,939.0,7.0,low,False,True
CD000022.PUB4,2,RR,0.97,0.87,1.07,3274.0,15.0,moderate,False,True
CD000022.PUB4,2,RR,0.57,0.44,0.74,2698.0,19.0,low,False,False
CD000022.PUB4,2,RR,0.82,0.58,1.16,850.0,6.0,low,False,False
CD000022.PUB4,2,RR,0.5,0.36,0.69,1848.0,13.0,low,False,False
CD000022.PUB4,2,RR,2.2,0.57,8.54,1323.0,7.0,very low,False,False
CD000022.PUB4,2,RR,2.78,0.26,29.5,1859.0,3.0,low,False,False
CD000022.PUB4,2,RR,2.64,0.34,20.69,2357.0,5.0,very low,False,False
CD000023.PUB5,1,RR,0.7,0.6,0.8,3730.0,16.0,moderate,True,False
CD000023.PUB5,1,RR,0.5,0.34,0.75,3083.0,14.0,moderate,False,False
CD000023.PUB5,1,RR,0.75,0.53,1.07,1443.0,8.0,high,False,False
CD000023.PUB5,1,RR,0.49,0.34,0.7,1020.0,4.0,high,False,False
CD000023.PUB5,1,OR,0.32,0.18,0.58,12132.0,17.0,moderate,False,False
CD000023.PUB5,1,OR,0.07,0.0,1.32,5147.0,10.0,low,False,False
CD000023.PUB5,1,OR,0.16,0.07,0.35,2367.0,7.0,high,False,False
CD000023.PUB5,1,OR,0.21,0.11,0.4,3646.0,10.0,high,False,False
CD000024.PUB5,1,OR,0.98,0.92,1.03,22428.0,13.0,high,True,False
CD000024.PUB5,1,OR,0.99,0.9,1.09,22602.0,22.0,low,False,False
CD000024.PUB5,1,OR,0.21,0.15,0.29,916.0,10.0,very low,False,False
CD000024.PUB5,1,OR,0.75,0.65,0.88,21665.0,12.0,moderate,False,False
CD000024.PUB5,1,OR,2.47,1.9,3.21,23221.0,21.0,moderate,False,False
CD000024.PUB5,1,OR,0.6,0.44,0.81,22544.0,14.0,high,False,False
CD000024.PUB5,1,OR,2.99,2.24,3.99,22255.0,18.0,moderate,False,False
CD000028.PUB3,1,RR,0.91,0.85,0.97,25932.0,13.0,high,True,True
CD000028.PUB3,1,RR,0.72,0.68,0.77,26747.0,15.0,moderate,False,True
CD000028.PUB3,1,RR,0.66,0.59,0.74,26042.0,13.0,moderate,False,True
CD000028.PUB3,1,RR,0.78,0.69,0.88,24559.0,11.0,moderate,False,True
CD000028.PUB3,1,RR,2.91,2.56,3.3,11310.0,4.0,low,False,False
CD000029.PUB4,1,OR,0.95,0.91,0.99,42034.0,7.0,moderate,True,False
CD000029.PUB4,1,OR,0.93,0.87,0.98,41929.0,10.0,very low,False,False
CD000029.PUB4,1,OR,0.71,0.53,0.96,41042.0,7.0,very low,False,False
CD000029.PUB4,1,OR,0.79,0.7,0.88,41652.0,9.0,very low,False,False
CD000029.PUB4,1,OR,1.18,0.97,1.44,41652.0,9.0,very low,False,False
CD000029.PUB4,1,OR,1.69,1.35,2.11,41042.0,7.0,very low,False,False
CD000029.PUB4,1,OR,1.06,1.01,1.11,40541.0,2.0,moderate,False,False
CD000031.PUB6,1,RR,1.6,1.49,1.72,18577.0,50.0,high,True,False
CD000031.PUB6,1,RR,1.16,0.9,1.48,10958.0,23.0,moderate,False,False
CD000031.PUB6,1,RR,1.44,1.27,1.65,12346.0,25.0,high,False,False
CD000031.PUB6,2,RR,1.17,0.95,1.44,4117.0,15.0,low,False,False
CD000031.PUB6,2,RR,1.52,0.26,8.89,657.0,4.0,low,False,False
CD000031.PUB6,2,RR,1.67,0.95,2.92,737.0,3.0,low,False,False
CD000031.PUB6,3,RR,1.21,0.95,1.55,1057.0,3.0,moderate,False,False
CD000031.PUB6,3,RR,1.23,0.63,2.42,1268.0,5.0,low,False,False
